opportunity_id,sales_agent,product,account,deal_stage,engage_date,close_date,close_value
HEE6P0QH,1,4,67,Won,2016-11-24,2017-03-25,3647.0
L8CHRJ2B,19,4,74,Won,2016-11-24,2017-03-01,4200.0
579LZ3F9,18,6,41,Engaging,2016-11-24,,
SU8JNMP4,32,6,8,Engaging,2016-11-24,,
V2X2KMUR,32,6,22,Won,2016-11-24,2017-03-28,1059.0
AJIPJP75,7,6,11,Lost,2016-11-24,2017-03-05,0.0
NYVA2G6U,3,3,19,Won,2016-11-24,2017-03-02,57.0
FF45BXTL,24,4,44,Won,2016-11-24,2017-03-27,3671.0
TTA9LYBS,1,3,73,Won,2016-11-25,2017-03-01,58.0
PAGZQH8L,2,4,73,Won,2016-11-25,2017-03-06,3956.0
J7YF6DS7,13,5,2,Won,2016-11-25,2017-03-01,5964.0
S5IXY4Z9,13,2,2,Won,2016-11-25,2017-03-06,4570.0
JQBJMETQ,10,3,16,Won,2016-11-25,2017-03-27,49.0
0LVWSWEW,12,3,18,Won,2016-11-25,2017-03-06,65.0
K53BC1T9,1,3,16,Lost,2016-11-26,2017-03-27,0.0
D40N5I9Y,10,2,23,Won,2016-11-26,2017-03-08,4739.0
051QTX8Z,9,6,29,Won,2016-11-26,2017-03-21,1080.0
5D2XH04S,21,3,56,Won,2016-11-26,2017-03-12,57.0
V9E582SK,15,1,44,Won,2016-11-27,2017-03-16,469.0
UK0LEZRJ,31,1,12,Won,2016-11-27,2017-03-03,532.0
PFFHM7HR,27,4,53,Engaging,2016-11-27,,
IT10CFQH,25,1,44,Won,2016-11-27,2017-03-26,538.0
8VKD2CCH,14,2,48,Won,2016-11-27,2017-03-21,4829.0
2XQAKBXH,33,5,17,Won,2016-11-27,2017-03-11,5370.0
7G7YLGJO,33,5,35,Won,2016-11-27,2017-03-21,6499.0
GCA97W27,10,6,28,Won,2016-11-28,2017-03-06,1161.0
K8FUZHOG,31,1,61,Won,2016-11-28,2017-03-26,576.0
5WJZMULK,34,6,35,Won,2016-11-28,2017-03-19,979.0
ZPYD4T9W,3,3,66,Won,2016-11-28,2017-03-07,43.0
KE9ZEDS8,8,3,62,Won,2016-11-29,2017-03-07,57.0
7KK0HQ4C,4,3,59,Lost,2016-11-29,2017-03-28,0.0
FP7014Z0,4,6,25,Won,2016-11-29,2017-03-12,948.0
N4HFHDMW,16,4,56,Won,2016-11-29,2017-03-10,3012.0
2HFLKREC,19,4,84,Won,2016-11-30,2017-03-15,3665.0
7JVTTVCO,12,1,27,Won,2016-11-30,2017-03-24,564.0
3X13866U,1,6,15,Lost,2016-12-01,2017-03-06,0.0
7LE19SYE,19,4,37,Won,2016-12-01,2017-03-22,3463.0
J5V2M7Y1,13,1,27,Won,2016-12-01,2017-03-26,513.0
41MURAI5,13,1,44,Won,2016-12-01,2017-03-28,590.0
QHI8WRIA,10,2,19,Won,2016-12-01,2017-03-30,4511.0
AJXAXV4W,4,4,23,Lost,2016-12-01,2017-03-02,0.0
VPDXX5PJ,9,1,9,Won,2016-12-01,2017-03-26,546.0
PZB9NUK8,24,3,79,Won,2016-12-01,2017-03-05,46.0
A0ANOYPF,10,2,59,Won,2016-12-02,2017-03-09,4891.0
0P4AAPYX,26,6,31,Won,2016-12-02,2017-03-03,1040.0
O6T5WC3W,26,6,65,Won,2016-12-02,2017-03-04,1108.0
0NO04P6C,26,3,50,Won,2016-12-02,2017-03-04,59.0
22OFSXBT,6,2,67,Won,2016-12-02,2017-03-30,5406.0
MRXZTMM6,31,1,10,Won,2016-12-02,2017-03-20,515.0
LGI8QEC2,5,1,73,Won,2016-12-02,2017-03-06,583.0
6KZ0NCFX,3,3,25,Won,2016-12-02,2017-03-14,54.0
3SF8O9S6,24,3,55,Won,2016-12-02,2017-03-27,60.0
CNM0H9FR,33,1,,Engaging,2016-12-02,,
XK668R7C,10,1,19,Lost,2016-12-03,2017-03-12,0.0
TZCAQWL3,10,2,25,Lost,2016-12-03,2017-03-19,0.0
BADC6A9H,10,1,29,Won,2016-12-03,2017-03-23,516.0
B8E0UUZR,10,2,57,Won,2016-12-03,2017-03-22,4829.0
I043RXJV,5,6,19,Lost,2016-12-03,2017-03-17,0.0
MWWB44CC,21,6,18,Won,2016-12-03,2017-03-02,950.0
HBTINPDG,24,6,77,Lost,2016-12-03,2017-03-09,0.0
DZ3KHZSX,13,1,37,Won,2016-12-04,2017-03-20,513.0
3W1K7X5F,10,2,12,Lost,2016-12-04,2017-03-09,0.0
45A57X68,10,5,59,Won,2016-12-04,2017-03-12,5522.0
9SLYC4TR,8,3,9,Won,2016-12-04,2017-03-09,56.0
JLWKWQYC,30,2,17,Won,2016-12-04,2017-03-08,5673.0
7QC6FOKW,32,1,77,Won,2016-12-04,2017-03-10,598.0
XA184CMW,7,5,57,Won,2016-12-04,2017-03-16,5787.0
S0N7BYU3,34,6,64,Won,2016-12-04,2017-03-08,1070.0
6WOMHAJM,22,4,18,Won,2016-12-05,2017-03-14,3677.0
G1QGATKV,19,5,52,Won,2016-12-05,2017-03-30,5425.0
UAE5ZC7O,18,5,,Engaging,2016-12-05,,
6XFVQI32,20,4,80,Won,2016-12-05,2017-03-23,3415.0
JUCNIG4H,30,1,,Engaging,2016-12-05,,
OGD4MDJ9,34,6,47,Won,2016-12-05,2017-03-21,891.0
4NGBUZWJ,4,1,11,Won,2016-12-06,2017-03-12,609.0
EFG5DGV5,27,3,55,Won,2016-12-06,2017-03-16,54.0
82MM4H33,33,6,46,Won,2016-12-06,2017-03-09,1049.0
14PM641K,19,6,27,Won,2016-12-07,2017-03-07,1152.0
DSBGHOPN,18,3,56,Lost,2016-12-07,2017-03-20,0.0
1YSOZLHF,18,2,74,Won,2016-12-07,2017-03-28,4799.0
E8RP9FRW,8,3,15,Won,2016-12-07,2017-03-12,51.0
787IRG9Q,26,4,41,Won,2016-12-07,2017-03-03,3426.0
0TUS4NAC,6,3,57,Won,2016-12-07,2017-03-11,51.0
FAJTQMUM,32,1,24,Won,2016-12-07,2017-03-20,564.0
TWF0J0DF,2,5,39,Won,2016-12-08,2017-03-01,5882.0
ICMXZOVL,18,2,66,Engaging,2016-12-08,,
UQ14O415,20,2,56,Won,2016-12-08,2017-03-20,5059.0
IBEUTCSW,30,4,,Engaging,2016-12-08,,
O3KC8QI8,32,6,,Engaging,2016-12-08,,
BOJSLNDG,32,4,64,Won,2016-12-08,2017-03-11,3388.0
WALNFJ70,31,5,,Engaging,2016-12-08,,
DASMR0EK,27,5,83,Won,2016-12-08,2017-03-10,5410.0
A76M0OOH,21,6,81,Won,2016-12-08,2017-03-28,978.0
E1VKE2PH,24,3,61,Won,2016-12-08,2017-03-26,54.0
SKY95DVG,1,3,3,Lost,2016-12-09,2017-03-22,0.0
V5OK4V5I,19,1,8,Won,2016-12-09,2017-03-14,549.0
GJ4L5HHN,13,6,49,Won,2016-12-09,2017-03-14,1034.0
9R8JWY3J,20,2,75,Won,2016-12-09,2017-03-03,4998.0
0EOFVU05,20,4,52,Won,2016-12-09,2017-03-28,3421.0
HNHOPL7M,31,5,17,Won,2016-12-09,2017-03-04,5425.0
Y0NYI17R,24,3,14,Won,2016-12-09,2017-03-15,55.0
R4F4RGAL,12,4,63,Won,2016-12-09,2017-03-14,3558.0
MNVMY83P,19,2,56,Engaging,2016-12-10,,
0ZHLQFGU,32,2,6,Won,2016-12-10,2017-03-22,4839.0
40DPY158,27,3,36,Won,2016-12-10,2017-03-25,47.0
DP9E525R,34,6,21,Won,2016-12-10,2017-03-24,1007.0
DBDUMQQK,9,3,38,Won,2016-12-10,2017-03-24,48.0
CNBN12RL,3,3,73,Won,2016-12-10,2017-03-07,49.0
OXL0YWEE,12,1,49,Won,2016-12-10,2017-03-18,504.0
ZOBJHMAF,19,4,,Engaging,2016-12-11,,
KD6MB4AP,28,3,,Engaging,2016-12-11,,
5CSSZJF4,6,1,23,Won,2016-12-11,2017-03-21,543.0
0XG8TOJF,31,5,21,Lost,2016-12-11,2017-03-18,0.0
IIS0O91J,31,2,21,Won,2016-12-11,2017-03-28,5149.0
2LP5SUR5,4,1,73,Lost,2016-12-11,2017-03-09,0.0
PYZZ3IS6,27,6,6,Won,2016-12-11,2017-03-11,1043.0
5I4K5TQE,19,5,69,Lost,2016-12-12,2017-03-09,0.0
RV3LPOYP,30,1,12,Won,2016-12-12,2017-03-29,437.0
A194RP0I,25,4,,Engaging,2016-12-12,,
1HVNTEPV,14,2,43,Won,2016-12-12,2017-03-11,4465.0
LC85AQ1I,24,1,44,Won,2016-12-12,2017-03-18,443.0
TBV972NP,12,3,69,Lost,2016-12-12,2017-03-23,0.0
EJMX0EIJ,10,5,3,Won,2016-12-13,2017-03-20,4278.0
VR9NYBOV,15,3,43,Won,2016-12-13,2017-03-06,41.0
3U25FK08,6,1,39,Won,2016-12-13,2017-03-28,519.0
KV2OFRJT,32,2,,Engaging,2016-12-13,,
CRLK4Z1P,34,1,42,Won,2016-12-13,2017-03-04,524.0
OGENAT0L,33,1,64,Won,2016-12-13,2017-03-27,552.0
F57JWIDF,8,6,45,Won,2016-12-14,2017-03-02,970.0
ERFRHR3Z,26,4,,Engaging,2016-12-14,,
J53D8EOL,31,6,36,Engaging,2016-12-14,,
LF8JZ3Q5,31,6,35,Won,2016-12-14,2017-03-13,1046.0
MRGBSMQ5,31,6,70,Won,2016-12-14,2017-03-14,988.0
CBAV8ZJL,4,1,11,Won,2016-12-14,2017-03-22,547.0
J32XDDAW,27,1,,Engaging,2016-12-14,,
NN4DWBVN,34,2,64,Lost,2016-12-14,2017-03-04,0.0
6JXHEZYK,3,3,39,Won,2016-12-14,2017-03-31,54.0
WDHNR2EI,12,3,63,Won,2016-12-14,2017-03-20,57.0
4K750D6F,12,3,80,Won,2016-12-14,2017-03-18,55.0
94GI0ZJ7,1,5,66,Won,2016-12-15,2017-03-15,5765.0
TODG6DEK,18,1,5,Won,2016-12-15,2017-03-16,639.0
G0ECB8FS,31,2,46,Won,2016-12-15,2017-03-15,5100.0
1ZDDZD8B,27,3,,Engaging,2016-12-15,,
96MZYUY0,24,2,21,Won,2016-12-15,2017-03-07,4906.0
EZVKSQ9C,22,5,28,Engaging,2016-12-16,,
RJYG004O,18,1,16,Engaging,2016-12-16,,
JZOKHHWN,20,6,53,Won,2016-12-16,2017-03-07,1037.0
EH6I67I0,30,1,54,Won,2016-12-16,2017-03-15,537.0
JUUXF02Z,31,2,35,Won,2016-12-16,2017-03-09,4694.0
OT87JDWO,4,1,45,Won,2016-12-16,2017-03-24,560.0
YHKT6YJ7,5,1,15,Won,2016-12-16,2017-03-13,589.0
H78I3TAY,21,1,49,Won,2016-12-16,2017-03-14,493.0
1ROC43JK,3,3,3,Won,2016-12-16,2017-03-08,50.0
LPZLQL48,24,1,79,Won,2016-12-16,2017-03-28,492.0
PYOFK7ZD,19,1,,Engaging,2016-12-17,,
DWUXMAGZ,13,5,,Engaging,2016-12-17,,
3KR50X38,13,6,44,Won,2016-12-17,2017-03-13,1255.0
Q3WLHRE9,10,1,67,Won,2016-12-17,2017-03-04,463.0
IX7UEOAP,20,6,37,Lost,2016-12-17,2017-03-27,0.0
NQU62K1H,20,1,82,Won,2016-12-17,2017-03-12,605.0
NAQKOU0T,26,6,21,Won,2016-12-17,2017-03-20,1315.0
I3V3GUAI,4,1,85,Won,2016-12-17,2017-03-02,559.0
PN4VJDXY,5,1,60,Won,2016-12-17,2017-03-28,557.0
K9D4DQ3R,14,3,75,Won,2016-12-17,2017-03-02,48.0
9X6V79KE,3,5,39,Won,2016-12-17,2017-03-25,6282.0
6SN2RQJX,24,3,,Engaging,2016-12-17,,
W1KLFNE4,1,4,39,Won,2016-12-18,2017-03-02,3246.0
NKPH3EFG,19,4,,Engaging,2016-12-18,,
GD2OCW12,10,1,23,Won,2016-12-18,2017-03-14,514.0
6XO4RYXK,20,6,63,Won,2016-12-18,2017-03-15,1132.0
18Y7GRPW,15,5,63,Won,2016-12-18,2017-03-21,5918.0
127ZPLXQ,31,2,36,Lost,2016-12-18,2017-03-18,0.0
U07C2HEG,34,3,42,Lost,2016-12-18,2017-03-14,0.0
RNTOJ78L,25,3,35,Lost,2016-12-18,2017-03-13,0.0
N07K7DR7,14,3,54,Engaging,2016-12-18,,
NLB4D5BQ,3,4,30,Won,2016-12-18,2017-03-24,2955.0
FCFDJIEZ,24,2,21,Won,2016-12-18,2017-03-21,3742.0
YZGDW4G1,12,3,37,Won,2016-12-18,2017-03-14,64.0
G8AO5FA2,16,4,37,Lost,2016-12-18,2017-03-27,0.0
125VIRMX,28,7,76,Engaging,2016-12-19,,
LXXW3TRW,28,6,61,Won,2016-12-19,2017-03-18,1164.0
8KJ3H262,28,3,64,Won,2016-12-19,2017-03-07,65.0
88POGNEL,8,6,9,Lost,2016-12-19,2017-03-07,0.0
UYP3NNU6,32,1,34,Won,2016-12-19,2017-03-16,441.0
S1V8684Y,7,6,23,Lost,2016-12-19,2017-03-12,0.0
MOPWEMB5,24,2,35,Won,2016-12-19,2017-03-16,4907.0
L62MDI48,1,4,39,Lost,2016-12-20,2017-03-01,0.0
3ECHUPQY,18,6,,Engaging,2016-12-20,,
3EL8D4WO,10,4,11,Won,2016-12-20,2017-03-25,3269.0
VOAN1NXG,20,1,43,Won,2016-12-20,2017-03-12,579.0
ALW92XQL,8,1,39,Lost,2016-12-20,2017-03-25,0.0
TJ6ZA1M3,31,1,14,Lost,2016-12-20,2017-03-07,0.0
FKAFO8O9,31,3,77,Won,2016-12-20,2017-03-31,51.0
1XBC7M9F,27,3,22,Won,2016-12-20,2017-03-08,64.0
8IXBS90G,14,3,20,Won,2016-12-20,2017-03-08,60.0
2X45BEOS,19,6,26,Won,2016-12-21,2017-03-27,1186.0
EQ8X0QTL,13,4,80,Won,2016-12-21,2017-03-09,3577.0
5QD53WHF,18,6,18,Won,2016-12-21,2017-03-07,1020.0
K5CWSFCW,28,2,6,Engaging,2016-12-21,,
79EABK3X,26,3,83,Won,2016-12-21,2017-03-23,53.0
2DKO9X1T,6,1,60,Lost,2016-12-21,2017-03-10,0.0
IBDEQVBN,31,1,22,Lost,2016-12-21,2017-03-28,0.0
QZ3VV4C1,31,2,70,Won,2016-12-21,2017-03-08,4719.0
62AK8UWX,5,1,11,Won,2016-12-21,2017-03-22,546.0
5QM4ORNT,9,6,16,Won,2016-12-21,2017-03-21,1212.0
4H2QMS78,24,1,,Engaging,2016-12-21,,
S91N9YBL,24,1,70,Lost,2016-12-21,2017-03-08,0.0
44H0FJMH,1,5,4,Lost,2016-12-22,2017-03-27,0.0
N5AZLQZR,8,5,19,Won,2016-12-22,2017-03-14,5533.0
4T295XQL,32,4,24,Won,2016-12-22,2017-03-01,3295.0
YFS5KLJJ,25,3,24,Won,2016-12-22,2017-03-31,45.0
S8GLKDB9,12,3,5,Won,2016-12-22,2017-03-04,56.0
SQLYCFGV,33,2,53,Engaging,2016-12-22,,
EUG019AS,13,1,,Engaging,2016-12-23,,
IE7VQ5BA,18,6,23,Engaging,2016-12-23,,
01QKN578,10,2,25,Won,2016-12-23,2017-03-20,4247.0
M0JKP0HT,8,4,39,Won,2016-12-23,2017-03-13,3440.0
ZC3KKSUK,30,2,54,Won,2016-12-23,2017-03-02,5040.0
3X8VLQ5G,6,1,9,Won,2016-12-23,2017-03-12,469.0
EZLXL6GL,5,3,39,Won,2016-12-23,2017-03-07,58.0
R8PEL8V8,2,4,39,Won,2016-12-24,2017-03-16,2955.0
L1R32S8H,13,5,12,Won,2016-12-24,2017-03-26,5228.0
J7N8J8NM,10,4,72,Won,2016-12-24,2017-03-14,3358.0
TO7PGVP1,28,5,33,Lost,2016-12-24,2017-03-29,0.0
A051G1B4,6,1,11,Won,2016-12-24,2017-03-31,517.0
NMDMM5YJ,5,1,19,Won,2016-12-24,2017-03-03,615.0
LWPJEV3U,9,1,16,Lost,2016-12-24,2017-03-10,0.0
I93ZFHEM,3,3,12,Won,2016-12-24,2017-03-08,62.0
B2VJCVBB,10,5,39,Won,2016-12-25,2017-03-13,4711.0
F90O03ZH,20,2,43,Lost,2016-12-25,2017-03-23,0.0
PC78RLUX,15,1,80,Won,2016-12-25,2017-03-30,510.0
X6GL64T5,8,2,76,Won,2016-12-25,2017-03-25,4891.0
OWM3BPGW,26,6,33,Won,2016-12-25,2017-03-17,926.0
RP5PS9A5,4,3,3,Won,2016-12-25,2017-03-10,56.0
AI76U58A,34,1,73,Engaging,2016-12-25,,
KFPM2LJW,25,1,,Engaging,2016-12-25,,
F2PW7WP2,12,3,52,Won,2016-12-25,2017-03-05,47.0
GK8YD2XW,10,1,57,Lost,2016-12-26,2017-03-23,0.0
U4LRR9E9,30,5,50,Won,2016-12-26,2017-03-10,6490.0
B00UMAV4,32,4,30,Engaging,2016-12-26,,
C8TV7R8A,31,2,,Engaging,2016-12-26,,
9N55D1AH,9,4,73,Won,2016-12-26,2017-03-02,3841.0
2VCDVCIZ,31,1,,Engaging,2016-12-27,,
WI4PODA2,31,5,22,Won,2016-12-27,2017-03-15,5256.0
VF1V41RI,27,3,42,Lost,2016-12-27,2017-03-28,0.0
1B4L7TNG,27,4,65,Lost,2016-12-27,2017-03-25,0.0
MZAN11FT,1,1,13,Won,2016-12-28,2017-03-01,625.0
0U3WVJO0,13,2,,Engaging,2016-12-28,,
0IO00FNS,10,2,76,Lost,2016-12-28,2017-03-16,0.0
8S6TNXYB,10,2,13,Won,2016-12-28,2017-03-22,3952.0
PMMW9JX3,31,1,,Engaging,2016-12-28,,
MOLGOSGE,31,5,44,Won,2016-12-28,2017-03-13,5515.0
FA1VHZSV,21,3,75,Won,2016-12-28,2017-03-16,57.0
PXQEX039,3,3,45,Won,2016-12-28,2017-03-28,51.0
RX56S6G3,24,4,21,Won,2016-12-28,2017-03-13,3803.0
G4F8W039,1,5,60,Won,2016-12-29,2017-03-27,5459.0
4T31MWVO,1,4,66,Won,2016-12-29,2017-03-23,4148.0
2HT2R2GY,19,5,,Engaging,2016-12-29,,
83XN082U,13,5,26,Won,2016-12-29,2017-03-23,5002.0
J21W3WIW,13,4,27,Won,2016-12-29,2017-03-03,3351.0
52UPJFYI,8,1,16,Won,2016-12-29,2017-03-19,571.0
QOL51JIB,30,1,32,Won,2016-12-29,2017-03-10,601.0
13GM5I6M,32,2,,Engaging,2016-12-29,,
93AGN8A6,27,1,83,Won,2016-12-29,2017-03-13,576.0
J7UNJFJL,7,3,25,Won,2016-12-29,2017-03-03,52.0
A4H5ESTU,34,6,21,Won,2016-12-29,2017-03-13,1185.0
8EZ04VQB,21,6,27,Lost,2016-12-29,2017-03-28,0.0
4501T63I,25,3,54,Won,2016-12-29,2017-03-14,56.0
9IA34L8S,24,1,,Engaging,2016-12-29,,
FPNGEJRC,12,3,53,Won,2016-12-29,2017-03-29,54.0
S33WRL0Y,33,2,77,Won,2016-12-29,2017-03-13,4818.0
Q7IRUJK7,1,5,11,Won,2017-01-01,2017-03-01,5087.0
DTZPYISJ,18,6,53,Won,2017-01-01,2017-03-19,1116.0
Y9HWSG8Z,10,1,30,Won,2017-01-01,2017-03-20,510.0
5T8Q2YID,28,3,,Engaging,2017-01-01,,
JOQCXC9Z,6,1,68,Won,2017-01-01,2017-03-16,565.0
AP7PCLAZ,32,1,24,Won,2017-01-01,2017-03-26,633.0
BIE471SO,21,4,78,Won,2017-01-01,2017-03-29,3962.0
UA8AWDG4,24,4,79,Won,2017-01-01,2017-03-22,3672.0
BTT6YAVZ,33,6,33,Engaging,2017-01-01,,
FZDRB789,33,2,32,Won,2017-01-01,2017-03-18,4586.0
PC1NUL8Q,1,3,36,Won,2017-01-02,2017-03-02,60.0
O7UUAK3Y,13,6,15,Engaging,2017-01-02,,
TLOHEQ18,13,6,,Engaging,2017-01-02,,
F1X5ZJ7V,6,1,19,Won,2017-01-02,2017-05-04,572.0
IF7MJ88P,31,1,32,Won,2017-01-02,2017-03-01,550.0
06B7XWPC,31,2,65,Won,2017-01-02,2017-03-17,4125.0
12MQ3WM8,7,4,85,Won,2017-01-02,2017-03-10,3647.0
91M6FY8S,5,1,19,Won,2017-01-02,2017-03-21,573.0
0LNZRNEU,12,1,82,Won,2017-01-02,2017-03-29,542.0
NKOKUS7D,19,4,20,Won,2017-01-03,2017-03-12,3479.0
NF6GCTMV,18,4,26,Lost,2017-01-03,2017-03-22,0.0
I4UCA7CU,10,6,66,Won,2017-01-03,2017-03-21,1012.0
EWDOBEM6,26,3,,Engaging,2017-01-03,,
1LI7ETNZ,30,6,17,Won,2017-01-03,2017-03-06,990.0
N36DEZBR,30,2,70,Won,2017-01-03,2017-03-18,4374.0
77ZECYVJ,31,1,24,Lost,2017-01-03,2017-03-17,0.0
IRB461Y7,31,6,77,Won,2017-01-03,2017-03-30,1054.0
NM2Q3CGW,24,3,61,Won,2017-01-03,2017-03-15,55.0
OEEUEIPJ,12,3,26,Lost,2017-01-03,2017-03-05,0.0
5E14LG51,22,6,40,Won,2017-01-04,2017-03-25,1073.0
TIAGZQ54,2,4,28,Lost,2017-01-04,2017-03-20,0.0
QM6VR1H5,18,5,,Engaging,2017-01-04,,
QR2BDRAI,30,4,,Engaging,2017-01-04,,
Z75ND4JF,31,1,,Engaging,2017-01-04,,
CRX91A45,31,1,22,Won,2017-01-04,2017-03-16,586.0
ZOQ8RC86,7,2,73,Won,2017-01-04,2017-05-05,4667.0
SV4SOO2K,24,6,36,Won,2017-01-04,2017-03-28,880.0
ITHR5WLF,24,4,54,Won,2017-01-04,2017-03-12,3676.0
CGWJ1WHI,16,3,,Engaging,2017-01-04,,
279625VN,1,4,25,Lost,2017-01-05,2017-03-25,0.0
